Model,Accuracy,Precision,Recall,F1 Score,AUC,Training Time,Parameters
CNN,0.8697109342270632,0.8690094024032335,0.8697109342270632,0.8691994435872958,0.9700362061278796,,115299
MobileNetV2,0.9078341013824884,0.9078009401980888,0.9078341013824884,0.907660040721176,0.9842957382857858,15197.19912838936,2619203
